"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
420;58;"G";90;1;0,933884297520661;1;0,925619834710744;0,925619834710744;"DE1002-1";3990;1;80;1155,78017715167
429;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-3";3674;2;80;860,529187374215
430;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-3";2187;1;80;893,736394836174
432;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"203-1";1868;1;90;876,915924242969
444;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"203-1";1668;1;80;792,24707215649
446;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"203-1";1368;1;90;752,817898354465
447;58;"G";90;0,933884297520661;0,933884297520661;1;0,925619834710744;0,917355371900826;"140-1";1733;1;90;617,492438602624
463;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"66-1";3526;1;100;866,352778635464
470;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"66-2";3726;1;90;876,356908242111
481;58;"G";90;0,933884297520661;0,933884297520661;1;0,925619834710744;0,917355371900826;"203-1";1267;1;80;741,679472634862
